"Source:","C:\dev\be6502-kicad\be6502_pld_v1_tms9918a.kicad_sch"
"Date:","28/12/2022 1:59:09 pm"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","62"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C2","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C3","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C4","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C5","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C6","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C7","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C8","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C9","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C10","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C11","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C12","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C13","~","Device:C","","~"
"","","C14","~","Device:C","","~"
"","","C15","470pf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C16","10uf","Device:C_Polarized_US","","~"
"","","C17","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C18","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C19","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C20","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C21","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C22","10uf","Device:C_Polarized_US","","~"
"","","C23","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C24","0.1uf","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","FB1","FerriteBead_Small","Device:FerriteBead_Small","","~"
"","","J1","Conn_01x02_Female","Connector:Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~"
"","","J2","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"","","J3","Conn_Coaxial","Connector:Conn_Coaxial",""," ~"
"","","J4","Conn_01x08_Female","Connector:Conn_01x08_Female","","~"
"","","J5","Conn_01x08_Female","Connector:Conn_01x08_Female","","~"
"","","J6","AudioJack2","Connector:AudioJack2","","~"
"","","Q1","2N4401","Transistor_BJT:PN2222A","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF"
"","","R1","1K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R2","1K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R3","1K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R4","1K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R5","1K","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R6","470","Device:R","","~"
"","","R7","1K","Device:R","","~"
"","","R8","33","Device:R","","~"
"","","R9","1K","Device:R","","~"
"","","R10","1K","Device:R","","~"
"","","R11","1K","Device:R","","~"
"","","R12","320","Device:R","","~"
"","","SW1","SW_Push","Switch:SW_Push","","~"
"","","U1","W65C02SxP","65xx:W65C02SxP","Package_DIP:DIP-40_W15.24mm","http://www.westerndesigncenter.com/wdc/documentation/w65c02s.pdf"
"","","U2","62256","Memory_RAM:KM62256CLP","Package_DIP:DIP-28_W15.24mm","https://www.futurlec.com/Datasheet/Memory/62256.pdf"
"","","U3","AT28C256","local_lib:AT28C256","Package_DIP:DIP-28_W15.24mm",""
"","","U4","ATF22V10-decoder","local_lib:ATF22V10-decoder","Package_DIP:DIP-24_W7.62mm_Socket_LongPads",""
"","","U5","W65C22SxP","65xx:W65C22SxP","Package_DIP:DIP-40_W15.24mm","http://www.westerndesigncenter.com/wdc/documentation/w65c22.pdf"
"","","U6","6551","65xx:6551","Package_DIP:DIP-28_W15.24mm","http://www.6502.org/documents/datasheets/mos/mos_6551_acia.pdf"
"","","U7","~","74xx:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"","","U8","~","local_lib:TMS9918A","",""
"","","U9","74HCT574","74xx:74HCT574","","http://www.ti.com/lit/gpn/sn74HCT574"
